EL1: Electronic Ladder,A1: RT,B1: MaP-RT
534.0263,1.527407,2.87733
896.2155,0.9342918,2.667695
1323.857,0.9984891,2.833933
1693.526,0.7217939,3.57942
1915.543,0.4533143,4.184026
1938.242,0.1729042,4.103856
1811.835,0.01397101,3.821549
1603.131,0.2422232,3.111536
1385.982,1.348122,2.249851
1177.896,2.926187,1.958515
952.2875,4.049173,2.102626
725.6607,5.652373,1.808924
514.5568,8.419136,1.113219
343.3156,10.67623,0.8336909
230.7798,12.12521,0.7556726
159.1207,12.44753,0.7235013
121.4475,10.88473,0.9761678
100.9632,8.321708,0.9308148
90.57072,6.345349,0.4147894
82.84824,5.646016,0.01865053
78.70884,4.977642,0.2991182
75.65926,4.824307,0.4013424
73.40968,4.560379,0.8208043
73.7391,4.759881,1.180834
76.34644,4.435881,1.674302
77.508,5.062358,2.087029
77.7814,5.835087,2.470842
77.35928,6.509433,2.75861
78.05479,7.099749,2.992001
78.73662,7.412468,2.997109
80.92796,7.806161,3.288446
83.87894,8.106656,3.84034
84.54099,9.021098,4.308491
84.35481,9.994259,5.120127
83.67835,11.21896,5.663441
83.07722,11.69045,6.113085
82.81445,11.87832,5.902653
83.71478,11.41412,5.942022
85.59646,11.12056,6.345393
88.81346,10.56367,6.530875
91.24297,10.78759,6.909331
97.97063,11.81067,7.768757
125.3911,13.48303,8.916701
195.0206,15.37376,9.303695
349.2362,16.75209,10.11047
613.9883,18.22547,11.23016
999.8707,19.25102,12.27773
1429.437,20.6848,13.42507
1799.875,22.27703,14.72406
2020.03,25.11853,16.5858
2053.386,28.30006,18.67005
1934.687,30.58428,20.71401
1757.065,32.94045,23.32453
1554.418,35.40807,25.79398
1343.634,38.77184,28.96061
1127.323,43.76271,32.74389
901.8741,50.29829,37.46111
692.3242,58.26598,43.67963
529.2231,66.64753,50.9845
411.7808,76.50098,60.34002
329.5119,87.8557,72.3248
275.33,102.4135,88.70435
241.5848,121.2022,109.9128
218.2643,142.7125,134.0289
201.8967,165.8065,159.7963
189.5484,189.9966,183.5654
181.3564,213.0697,203.2658
175.6978,230.7757,217.5371
171.8805,243.5954,226.1388
170.7684,248.2916,230.4796
172.6783,248.1009,229.1791
178.6039,246.4973,224.8174
190.7727,259.2342,218.5832
229.1948,316.6371,228.2389
339.4003,479.7032,292.1363
634.0167,829.0989,492.3205
1221.308,1461.202,965.7912
2141.219,2462.532,1720.718
3227.184,3579.603,2735.83
4204.011,4521.762,3785.898
4859.749,4951.014,4632.585
4961.524,4820.379,4992.682
4697.93,4175.984,4781.42
4249.682,3263.173,4149.306
3757.385,2382.871,3249.508
3237.868,1662,2344.923
2712.926,1109.83,1562.912
2151.77,715.2541,1018.086
1587.301,457.963,654.6522
1103.831,311.5342,422.6723
766.2327,222.1146,298.465
521.8495,167.3793,228.0368
364.3054,129.4754,178.5011
256.5908,106.1468,142.6636
189.9053,90.78771,115.9207
147.3761,79.5893,96.24357
119.2976,71.87056,83.74285
101.0217,66.26376,76.12634
88.16663,63.01783,71.74657
76.93024,61.15902,69.76569
66.44038,60.54155,69.24384
58.18572,59.20821,69.28624
51.66859,58.95337,68.51023
46.47125,60.82431,68.11496
42.08004,64.50683,67.96927
36.52186,71.287,66.55623
31.59983,79.91416,63.7069
28.20555,87.14877,60.78492
25.34906,90.40356,57.99132
23.23538,89.30801,54.82576
20.93957,85.32214,53.20429
18.21417,79.85902,52.82135
15.4403,75.39914,53.03916
12.98746,73.71,53.05138
11.95267,73.18498,52.76508
11.40891,72.97473,53.34432
9.841163,73.68037,52.94507
7.919872,73.91307,52.36227
5.911477,74.24045,51.36574
3.538109,74.5815,50.00683
2.163637,75.2029,48.56059
1.467447,75.67278,47.11644
1.483395,75.71327,46.59566
0.7762638,76.03137,45.4614
0.209297,75.58584,44.66932
0,75.94212,43.80534
0,75.54832,43.54641
0,74.69469,43.66383
0,73.07616,43.35227
0.009283464,71.36701,43.49776
0.03498901,69.24918,42.82835
0.513912,67.51613,42.7072
0.6811901,66.70323,41.7188
0.7838674,65.29008,41.06841
0.3933266,64.17976,40.71069
0,62.16354,39.46828
0,60.70619,38.41798
0,59.01705,37.60275
0,58.26993,37.07007
0.4896502,58.73652,18.43575
0.4377621,59.97512,0
0.2346331,60.956,0
0.1803256,61.07106,0
0.09139259,7.876716,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
