A1: Ladder,A2: PTREseq_DNA_UTR,B2: PTREseq_RNA_UTR,C2: ABAB_DNA_UTR,D2: ABAB_RNA_UTR,E2: PTREseq_DNA_FULL,F2: PTREseq_RNA_FULL,G2: ABAB_DNA_FULL,H2: ABAB_RNA_FULL
420.3332,8.534709,7.306449,34.65208,7.094212,10.96213,3.453414,9.535835,2.272706
487.8364,8.459356,7.093827,33.51369,6.892403,11.01006,3.466205,9.232042,2.387305
532.9432,8.515764,7.217247,30.24736,6.111819,10.87784,3.528084,8.924219,2.212369
557.0699,8.396881,7.212096,29.4454,5.942307,10.71431,3.891842,8.770005,2.185182
576.1058,7.92407,7.18153,30.56176,6.062713,10.37803,4.085297,8.449632,2.214011
587.7798,7.543028,7.018863,31.88481,6.21729,10.2539,4.067762,8.67606,2.256265
583.228,7.445348,6.92536,33.80194,6.458137,10.22831,3.822872,9.225633,2.151643
562.5455,7.291635,6.713327,35.73922,6.552563,10.33074,3.735026,9.175116,2.023855
529.6302,6.66466,6.613691,35.96239,6.272211,10.34836,3.593349,9.268261,2.029376
483.9745,6.775343,6.733244,31.86243,5.716923,10.31729,3.66111,9.306552,2.111532
428.8828,6.937926,6.637358,30.52907,5.878748,10.11377,3.777506,9.11634,2.090396
370.4917,6.887973,6.242617,29.47311,5.669342,9.715086,3.919041,8.814862,2.11887
313.913,6.66067,6.010191,28.17307,5.644764,9.472681,4.175345,8.772641,1.968663
260.03,6.672702,5.791449,26.1715,5.883193,9.247609,3.991085,8.89468,1.834186
212.0063,6.451634,5.533442,26.25458,6.004966,9.321684,4.27092,8.661591,1.749477
174.95,6.149602,5.438943,24.81487,6.073119,9.276663,4.031173,8.541939,1.73704
144.8889,5.822764,5.514669,24.15191,5.958507,9.115437,3.946045,8.333497,2.008127
121.5706,5.620452,5.439097,25.16451,5.882475,9.02664,4.000094,8.03275,2.082205
103.4925,5.481135,5.274898,25.06699,5.543848,8.67896,3.788356,7.47284,2.256714
88.33511,5.20881,5.20839,24.12844,5.241745,8.571615,3.823171,7.227502,2.233124
75.91577,5.280027,5.186363,24.25533,5.037745,8.461762,3.92118,6.87886,2.366011
65.61299,5.337372,5.202779,22.91506,5.00001,8.428126,4.129266,6.894475,2.419831
57.21113,5.542121,5.502717,22.30183,5.033772,8.279397,4.228994,6.808564,2.54812
49.73915,5.370144,5.673035,21.21291,4.890535,8.115144,4.201905,6.878735,2.571368
44.07064,5.273358,5.341591,19.63198,4.925999,7.871285,4.337379,6.756423,2.478515
39.1183,5.08259,5.195504,19.36336,5.015293,7.519849,4.282672,7.005285,2.450811
35.10242,5.159133,5.081829,18.02078,5.272707,7.425169,4.081287,6.779088,2.472315
31.32869,5.362793,4.985515,21.26992,5.307317,7.412557,3.895789,6.463682,2.455143
28.28785,5.742365,4.767535,23.01666,5.238557,7.25496,3.949417,6.167912,2.628661
25.421,5.512101,4.666459,25.87472,5.140002,7.154698,4.126552,6.051432,2.879191
22.93115,5.444982,4.641515,24.37666,4.730181,7.068863,4.54567,5.813831,3.109263
20.60863,5.202806,4.227955,22.96495,4.593404,6.96178,4.816877,5.688673,3.232318
18.41715,4.75119,4.13669,21.07756,4.490658,6.860656,4.915308,5.723285,3.284529
16.58529,4.35074,4.067759,21.21092,4.512316,6.685432,4.541819,5.689132,3.279092
15.34614,3.863948,4.044428,22.74098,4.441808,6.766297,4.271534,5.5254,3.055366
14.42946,3.711899,4.064022,22.21345,4.090553,6.807832,4.052407,5.643807,2.993306
13.4852,3.613547,4.047905,22.78331,3.829806,6.597039,4.031344,5.656018,2.873292
12.52514,3.804741,3.955485,21.34793,3.718562,6.301414,4.164508,5.614367,2.856669
11.45799,4.280263,3.954394,19.7834,3.630941,6.123046,4.111474,5.361473,2.669377
10.32384,4.394101,3.81068,17.89159,3.57401,5.901924,3.935325,4.977736,2.528687
9.022939,4.209012,3.399385,18.42653,3.694179,5.727548,3.787574,4.259307,2.187906
7.944617,3.761734,3.18956,15.2167,3.77416,5.723329,3.905319,3.600202,2.055032
7.439836,3.250805,3.044942,13.10943,3.273267,5.914768,3.889542,3.638016,2.292495
7.441464,2.981331,2.83184,12.74747,2.884173,5.647402,3.668182,3.515473,2.435171
7.445072,2.623617,2.741198,11.51671,3.001435,5.123256,3.416121,3.448891,2.441118
7.073454,2.801589,2.838541,11.91335,2.844855,4.745725,3.008395,3.482307,2.336338
6.410015,3.288113,2.810854,15.20946,2.882019,4.537876,2.475201,3.451603,2.229487
5.542724,3.416333,2.759552,18.78354,2.950167,4.493208,2.49225,3.25598,2.103093
4.525089,3.348369,2.717043,16.30026,2.86167,4.626883,2.47802,3.062532,1.82607
3.733293,3.063016,2.924707,15.36719,2.57814,4.695122,2.417642,3.059751,1.876683
3.661609,2.811673,2.902658,13.29903,2.264721,4.634468,2.416962,3.184021,1.623618
3.86296,2.136868,2.746176,11.10077,2.239787,4.324589,2.438957,2.915505,1.276095
3.599981,1.869394,2.537357,8.040392,2.060067,4.055664,2.226031,2.774419,1.195244
3.670906,2.154928,2.551928,7.833035,1.906305,4.263329,1.86665,2.5888,1.161035
3.392994,2.449032,2.526183,7.843503,1.799132,4.269683,1.701436,2.373837,1.187746
3.40892,2.178887,2.46027,7.413236,1.691352,4.342603,1.773014,1.98199,1.275882
3.232284,2.112682,2.374433,6.202665,1.61441,4.257613,1.775884,1.75892,1.122407
2.933546,2.218885,2.468057,4.624205,1.606143,4.010453,1.861115,1.795581,1.023391
2.569334,1.867484,2.133042,4.779861,1.506435,3.873657,2.007449,1.543305,0.7155663
1.892923,1.627701,1.863624,6.915262,1.352977,3.427977,2.160818,1.683791,0.6688799
1.798691,1.772318,1.860816,7.055745,1.234854,3.234779,2.116277,1.403166,0.6368176
1.253217,2.093889,1.599179,8.806891,1.17889,3.012542,2.040792,1.364436,0.5913869
1.315344,2.09804,1.276094,9.792301,1.289861,2.771859,1.946899,1.390349,0.7322293
1.346511,1.862211,1.182665,6.7597,1.34624,2.579572,1.585338,1.489537,0.8087685
0.848466,2.018978,1.249748,4.782451,1.440052,2.455978,1.119617,1.883849,0.9204496
0.6016074,2.017896,1.406018,5.081681,1.431393,2.606752,1.049703,1.977035,0.8885394
0.221942,1.527572,1.763506,4.383016,1.351909,2.58417,0.9737769,2.102934,0.762378
0.2031729,1.36148,2.105982,1.387882,1.331252,2.725762,1.143125,2.083483,0.4735596
0.06576038,1.139516,1.95024,2.541794,1.33346,2.946533,1.270511,1.846978,0.2523036
0.3524107,1.066188,1.786658,1.418968,1.334996,3.197511,1.055462,1.867918,0.1035089
0.7267479,0.8355302,1.594126,0.1199926,1.19603,3.222392,0.8014784,1.559368,0.07012658
0.6745573,1.064749,1.410648,2.449521,1.190462,3.091902,0.8222355,1.312501,0.04361908
0.6467371,1.148249,1.198445,5.79445,1.189241,2.902298,1.005123,0.942944,0.2656827
0.5401534,1.012722,1.140418,7.744279,0.8848094,2.77657,0.9906065,0.7989467,0.426121
0.4570868,0.9201156,1.180089,8.298917,0.8105813,2.902521,1.180858,0.9199442,0.3137896
0.2883391,0.8607985,1.335178,10.36324,0.7667008,2.811569,1.410441,1.25434,0.2582256
0,0.8073842,1.510399,9.550122,0.6529278,2.858109,1.419399,1.48091,0.2125608
