reporter	best_category	count
AAAS_8	PCR_chimera	48
AAAS_9	PCR_chimera	184
AAAS_9	full_length	63
AAAp_1	PCR_chimera	128
AAAp_1	full_length	121
AAAp_1	ambiguous_deletion	12
AAAp_1	spacer_not_cloned	9
AAAp_10	full_length	60
AAAp_10	PCR_chimera	10
AAAp_10	ambiguous_deletion	5
AAAp_2	ambiguous_deletion	2
AAAp_2	full_length	59
AAAp_2	PCR_chimera	59
AAAp_2	spacer_not_cloned	11
AAAp_3	PCR_chimera	151
AAAp_3	full_length	69
AAAp_3	spacer_not_cloned	22
AAAp_3	ambiguous_deletion	1
AAAp_4	full_length	229
AAAp_4	PCR_chimera	33
AAAp_4	spacer_not_cloned	10
AAAp_4	ambiguous_deletion	6
AAAp_5	spacer_not_cloned	2
AAAp_5	full_length	152
AAAp_5	PCR_chimera	489
AAAp_6	full_length	424
AAAp_6	PCR_chimera	251
AAAp_6	spacer_not_cloned	8
AAAp_6	ambiguous_deletion	1
AAAp_7	full_length	236
AAAp_7	PCR_chimera	21
AAAp_7	ambiguous_deletion	6
AAAp_8	PRE-SPACER_mispriming	1
AAAp_8	full_length	147
AAAp_8	PCR_chimera	138
AAAp_8	ambiguous_deletion	3
AAAp_9	full_length	160
AAAp_9	PCR_chimera	127
AABA_1	full_length	111
AABA_1	PCR_chimera	55
AABA_1	spacer_not_cloned	4
AABA_10	spacer_not_cloned	3
AABA_10	full_length	241
AABA_10	PCR_chimera	32
AABA_2	full_length	306
AABA_2	PCR_chimera	211
AABA_2	spacer_not_cloned	4
AABA_2	ambiguous_deletion	1
AABA_3	full_length	66
AABA_3	PCR_chimera	3
AABA_4	PCR_chimera	1
AABA_5	PRE-SPACER_mispriming	2
AABA_5	PCR_chimera	3
AABA_5	ambiguous_deletion	962
AABA_5	full_length	64
AABA_6	PCR_chimera	70
AABA_6	ambiguous_deletion	2
AABA_6	full_length	931
AABA_6	spacer_not_cloned	28
AABA_7	PCR_chimera	121
AABA_7	full_length	45
AABA_7	spacer_not_cloned	6
AABA_7	ambiguous_deletion	4
AABA_8	full_length	144
AABA_8	PCR_chimera	24
AABA_8	PRE-SPACER_mispriming	7
AABA_8	ambiguous_deletion	7
AABA_9	spacer_not_cloned	2
AABA_9	full_length	328
AABA_9	PCR_chimera	147
AABA_9	ambiguous_deletion	28
AABB_1	full_length	557
AABB_1	PCR_chimera	36
AABB_1	ambiguous_deletion	11
AABB_10	full_length	8
AABB_10	PCR_chimera	22
AABB_10	spacer_not_cloned	28
AABB_2	full_length	154
AABB_2	PCR_chimera	1
AABB_3	PCR_chimera	331
AABB_3	full_length	222
AABB_3	ambiguous_deletion	1
AABB_4	ambiguous_deletion	4
AABB_4	spliced-GTACAA_132_CCTCGA_228	1
AABB_4	PCR_chimera	58
AABB_4	full_length	1247
AABB_4	spacer_not_cloned	6
AABB_5	PCR_chimera	115
AABB_5	ambiguous_deletion	15
AABB_5	PRE-SPACER_mispriming	6
AABB_5	full_length	548
AABB_6	ambiguous_deletion	5
AABB_6	PCR_chimera	722
AABB_6	full_length	307
AABB_6	spacer_not_cloned	13
AABB_7	PCR_chimera	5
AABB_7	full_length	128
AABB_8	ambiguous_deletion	4
AABB_8	full_length	323
AABB_8	PCR_chimera	148
AABB_8	spacer_not_cloned	5
AABB_9	full_length	139
AABB_9	PCR_chimera	24
AABB_9	ambiguous_deletion	3
AABL_1	full_length	600
AABL_1	PCR_chimera	116
AABL_10	PCR_chimera	36
AABL_10	ambiguous_deletion	2
AABL_10	full_length	614
AABL_2	full_length	37
AABL_2	PCR_chimera	13
AABL_3	ambiguous_deletion	1
AABL_3	PCR_chimera	2886
AABL_3	full_length	439
AABL_3	spacer_not_cloned	11
AABL_4	PCR_chimera	1
AABL_4	full_length	23
AABL_4	spacer_not_cloned	2
AABL_5	full_length	365
AABL_5	PCR_chimera	15
AABL_5	ambiguous_deletion	1
AABL_6	full_length	80
AABL_6	PCR_chimera	11
AABL_6	ambiguous_deletion	1
AABL_7	spacer_not_cloned	18
AABL_7	ambiguous_deletion	5
AABL_7	full_length	760
AABL_7	PCR_chimera	246
AABL_8	PCR_chimera	569
AABL_8	full_length	60
AABL_8	spacer_not_cloned	17
AABL_8	ambiguous_deletion	4
AABL_9	full_length	787
AABL_9	PCR_chimera	148
AABL_9	ambiguous_deletion	37
AABL_9	spacer_not_cloned	8
AABS_1	ambiguous_deletion	1
AABS_1	spacer_not_cloned	1
AABS_1	PCR_chimera	20
AABS_1	full_length	118
AABS_10	ambiguous_deletion	1
AABS_10	full_length	115
AABS_10	PCR_chimera	107
AABS_10	spacer_not_cloned	52
AABS_2	full_length	638
AABS_2	PCR_chimera	28
AABS_2	ambiguous_deletion	1
AABS_3	spacer_not_cloned	14
AABS_3	ambiguous_deletion	2
AABS_3	full_length	332
AABS_3	PCR_chimera	89
AABS_4	full_length	164
AABS_4	spacer_not_cloned	12
AABS_4	PCR_chimera	10
AABS_4	ambiguous_deletion	17
AABS_5	full_length	988
AABS_5	PCR_chimera	45
AABS_5	spacer_not_cloned	20
