reporter	best_category	count
AABB_4	full_length	399
AABB_4	PCR_chimera	23
AABB_4	ambiguous_deletion	1
AABB_5	full_length	337
AABB_5	PCR_chimera	262
AABB_6	PCR_chimera	267
AABB_6	full_length	259
AABB_6	ambiguous_deletion	2
AABB_7	full_length	248
AABB_7	PCR_chimera	6
AABB_7	ambiguous_deletion	2
AABB_8	PCR_chimera	618
AABB_8	full_length	304
AABB_8	ambiguous_deletion	1
AABB_9	full_length	151
AABB_9	PCR_chimera	11
AABL_1	full_length	337
AABL_1	PCR_chimera	80
AABL_1	ambiguous_deletion	2
AABL_10	full_length	528
AABL_10	PCR_chimera	9
AABL_10	ambiguous_deletion	2
AABL_2	full_length	300
AABL_2	PCR_chimera	15
AABL_3	PCR_chimera	816
AABL_3	full_length	295
AABL_3	ambiguous_deletion	6
AABL_4	full_length	270
AABL_4	PCR_chimera	2
AABL_5	full_length	224
AABL_5	PCR_chimera	5
AABL_6	full_length	430
AABL_6	PCR_chimera	9
AABL_7	full_length	290
AABL_7	PCR_chimera	6
AABL_7	ambiguous_deletion	2
AABL_8	full_length	183
AABL_8	PCR_chimera	27
AABL_9	full_length	276
AABL_9	PCR_chimera	84
AABL_9	ambiguous_deletion	33
AABS_1	full_length	396
AABS_1	PCR_chimera	50
AABS_10	full_length	475
AABS_10	PCR_chimera	111
AABS_10	ambiguous_deletion	6
AABS_2	full_length	214
AABS_3	full_length	217
AABS_3	PCR_chimera	210
AABS_4	full_length	260
AABS_4	ambiguous_deletion	12
AABS_4	PCR_chimera	6
AABS_5	full_length	353
AABS_5	PCR_chimera	5
AABS_5	ambiguous_deletion	2
AABS_6	full_length	214
AABS_6	PCR_chimera	107
AABS_6	ambiguous_deletion	23
AABS_7	full_length	121
AABS_7	ambiguous_deletion	30
AABS_7	PCR_chimera	11
AABS_8	full_length	306
AABS_8	PCR_chimera	211
AABS_8	ambiguous_deletion	32
AABS_9	full_length	354
AABS_9	PCR_chimera	183
AABp_1	full_length	427
AABp_1	PCR_chimera	10
AABp_1	PRE-SPACER_mispriming	1
AABp_1	ambiguous_deletion	1
AABp_10	full_length	573
AABp_10	ambiguous_deletion	1
AABp_2	full_length	425
AABp_2	ambiguous_deletion	2
AABp_3	full_length	443
AABp_3	PCR_chimera	10
AABp_3	ambiguous_deletion	1
AABp_4	full_length	392
AABp_4	PCR_chimera	7
AABp_5	full_length	394
AABp_5	PCR_chimera	53
AABp_5	ambiguous_deletion	1
AABp_6	full_length	429
AABp_6	PCR_chimera	54
AABp_6	ambiguous_deletion	51
AABp_7	full_length	559
AABp_7	PCR_chimera	52
AABp_8	full_length	223
AABp_8	PCR_chimera	89
AABp_9	full_length	337
AABp_9	PCR_chimera	11
AABp_9	ambiguous_deletion	8
AALA_1	full_length	109
AALA_1	ambiguous_deletion	4
AALA_10	full_length	272
AALA_10	PCR_chimera	54
AALA_10	ambiguous_deletion	3
AALA_10	PRE-SPACER_mispriming	1
AALA_2	full_length	153
AALA_2	ambiguous_deletion	1
AALA_3	full_length	392
AALA_3	PCR_chimera	45
AALA_4	full_length	151
AALA_4	PCR_chimera	7
AALA_5	PCR_chimera	137
AALA_5	full_length	126
AALA_5	ambiguous_deletion	5
AALA_6	full_length	506
AALA_6	PCR_chimera	16
AALA_6	ambiguous_deletion	3
AALA_6	PRE-SPACER_mispriming	1
AALA_7	full_length	211
AALA_7	PCR_chimera	13
AALA_7	ambiguous_deletion	2
AALA_8	full_length	199
AALA_8	PCR_chimera	9
